vehicle_id,make,model,year,price,kms_driven,fuel_type,transmission,location,source,condition_score,scraped_at,listing_age_days,seller_type,verified,images_count,description,features
realtime_001,Mahindra,XUV700,2020,647728,39940,Diesel,Automatic,Jaipur,cardekho,0.82,2025-07-24T13:58:10.404321,22,Dealer,False,19,Mahindra XUV700 2020 in excellent condition,"['Central Locking', 'Fog Lights', 'ABS', 'Power Steering', 'Airbags', 'Alloy Wheels']"
realtime_002,Maruti Suzuki,Vitara Brezza,2024,717644,1000,Petrol,Manual,Lucknow,cars24,0.94,2025-07-24T13:58:10.404321,5,Dealer,False,9,Maruti Suzuki Vitara Brezza 2024 in excellent condition,"['Power Steering', 'Fog Lights', 'Alloy Wheels', 'AC', 'Power Windows']"
realtime_003,Audi,A4,2024,4378614,1000,Petrol,Automatic,Lucknow,cardekho,1.0,2025-07-24T13:58:10.404321,11,Individual,False,12,Audi A4 2024 in excellent condition,"['Music System', 'Power Windows', 'Alloy Wheels', 'Fog Lights', 'AC', 'Power Steering']"
realtime_004,Hyundai,Verna,2021,535671,42486,Petrol,Manual,Mumbai,cardekho,0.86,2025-07-24T13:58:10.404321,28,Dealer,False,9,Hyundai Verna 2021 in excellent condition,"['Airbags', 'Power Windows', 'Music System', 'Power Steering', 'Central Locking', 'AC', 'Fog Lights']"
realtime_005,Audi,A4,2020,2344878,34291,Petrol,Manual,Hyderabad,cars24,0.77,2025-07-24T13:58:10.404321,13,Individual,True,16,Audi A4 2020 in excellent condition,"['Fog Lights', 'Central Locking', 'Power Windows', 'Music System', 'Alloy Wheels', 'Airbags', 'AC']"
realtime_006,Maruti Suzuki,Swift,2020,255556,39680,CNG,Automatic,Mumbai,cartrade,0.8,2025-07-24T13:58:10.404321,5,Dealer,True,7,Maruti Suzuki Swift 2020 in excellent condition,"['Music System', 'Central Locking', 'Fog Lights']"
realtime_007,Tata,Altroz,2023,516404,12780,Petrol,Automatic,Bangalore,cars24,0.88,2025-07-24T13:58:10.404321,12,Individual,False,19,Tata Altroz 2023 in excellent condition,"['Music System', 'ABS', 'Power Steering']"
realtime_008,Mahindra,Thar,2022,998976,17359,Petrol,Manual,Mumbai,spinny,0.97,2025-07-24T13:58:10.404321,16,Dealer,False,17,Mahindra Thar 2022 in excellent condition,"['Airbags', 'Power Steering', 'Power Windows', 'AC', 'Alloy Wheels', 'Central Locking', 'Music System']"
realtime_009,Tata,Harrier,2022,984150,18004,Diesel,Manual,Delhi,spinny,0.88,2025-07-24T13:58:10.404321,30,Dealer,False,5,Tata Harrier 2022 in excellent condition,"['Airbags', 'Power Steering', 'AC', 'Central Locking', 'ABS']"
realtime_010,Mahindra,Scorpio,2022,960444,24701,Diesel,Manual,Mumbai,olx,0.78,2025-07-24T13:58:10.404321,18,Dealer,False,13,Mahindra Scorpio 2022 in excellent condition,"['Alloy Wheels', 'Music System', 'AC', 'Airbags']"
