vehicle_id,make,model,year,price,kms_driven,fuel_type,transmission,location,source,condition_score,scraped_at,listing_age_days,seller_type,verified,images_count,description,features
realtime_001,Tata,Harrier,2018,686210,85601,Diesel,Manual,Jaipur,spinny,0.54,2025-07-24T15:02:21.978728,1,Dealer,False,8,Tata Harrier 2018 in excellent condition,"['Central Locking', 'Airbags', 'Alloy Wheels', 'Power Steering']"
realtime_002,Hyundai,Grand i10 Nios,2019,354654,72806,Petrol,Manual,Ahmedabad,olx,0.59,2025-07-24T15:02:21.978728,22,Individual,True,20,Hyundai Grand i10 Nios 2019 in excellent condition,"['Power Windows', 'Central Locking', 'ABS', 'Music System', 'Alloy Wheels']"
realtime_003,Honda,WR-V,2020,496695,51130,Diesel,Manual,Bangalore,cars24,0.81,2025-07-24T15:02:21.978728,21,Dealer,False,13,Honda WR-V 2020 in excellent condition,"['Fog Lights', 'Power Windows', 'Central Locking', 'Airbags', 'ABS', 'Alloy Wheels']"
realtime_004,Hyundai,i20,2021,378871,26289,Petrol,Manual,Ahmedabad,cars24,0.83,2025-07-24T15:02:21.978728,19,Dealer,True,15,Hyundai i20 2021 in excellent condition,"['AC', 'Alloy Wheels', 'Music System', 'Power Steering', 'Airbags', 'ABS']"
realtime_005,Maruti Suzuki,Swift,2022,366346,22434,CNG,Manual,Pune,cardekho,0.91,2025-07-24T15:02:21.978728,24,Individual,False,8,Maruti Suzuki Swift 2022 in excellent condition,"['Airbags', 'Power Windows', 'Music System', 'Fog Lights', 'Power Steering', 'AC', 'Central Locking']"
realtime_006,Maruti Suzuki,Baleno,2022,306935,27624,CNG,Manual,Lucknow,cartrade,0.8,2025-07-24T15:02:21.978728,20,Dealer,False,16,Maruti Suzuki Baleno 2022 in excellent condition,"['Music System', 'Airbags', 'Alloy Wheels', 'Central Locking', 'Fog Lights', 'ABS', 'AC']"
realtime_007,Hyundai,Creta,2022,806587,20009,Petrol,Automatic,Delhi,spinny,0.91,2025-07-24T15:02:21.978728,26,Dealer,True,9,Hyundai Creta 2022 in excellent condition,"['Alloy Wheels', 'AC', 'Music System', 'Central Locking', 'Power Steering', 'Power Windows']"
realtime_008,Audi,A4,2022,2957556,19871,Petrol,Manual,Pune,cars24,0.93,2025-07-24T15:02:21.978728,29,Individual,True,8,Audi A4 2022 in excellent condition,"['Power Steering', 'Fog Lights', 'ABS']"
realtime_009,Toyota,Innova Crysta,2021,769204,31050,Diesel,Manual,Pune,spinny,0.76,2025-07-24T15:02:21.978728,25,Individual,False,8,Toyota Innova Crysta 2021 in excellent condition,"['Power Windows', 'Central Locking', 'Alloy Wheels', 'ABS', 'Fog Lights', 'Power Steering']"
realtime_010,Tata,Altroz,2020,279719,47142,Diesel,Automatic,Hyderabad,cartrade,0.73,2025-07-24T15:02:21.978728,26,Dealer,False,19,Tata Altroz 2020 in excellent condition,"['AC', 'Fog Lights', 'Power Steering']"
realtime_011,Audi,Q3,2021,1909111,23964,Petrol,Automatic,Ahmedabad,cardekho,0.9,2025-07-24T15:02:21.978728,10,Individual,True,17,Audi Q3 2021 in excellent condition,"['Central Locking', 'Airbags', 'Power Windows', 'Alloy Wheels', 'ABS', 'Music System', 'Fog Lights']"
