vehicle_id,make,model,year,price,kms_driven,fuel_type,transmission,location,source,condition_score,scraped_at,listing_age_days,seller_type,verified,images_count,description,features
realtime_001,Hyundai,Venue,2019,338650,47389,Petrol,Manual,Kolkata,cars24,0.69,2025-07-24T14:05:01.000943,3,Individual,True,5,Hyundai Venue 2019 in excellent condition,"['Alloy Wheels', 'Fog Lights', 'Music System', 'Power Windows', 'Airbags', 'Central Locking']"
realtime_002,Toyota,Urban Cruiser,2020,461401,50004,Petrol,Manual,Hyderabad,carwale,0.8,2025-07-24T14:05:01.000943,1,Dealer,True,19,Toyota Urban Cruiser 2020 in excellent condition,"['Power Windows', 'ABS', 'Power Steering', 'Fog Lights', 'Alloy Wheels', 'Central Locking']"
realtime_003,Hyundai,Creta,2022,768855,20341,Diesel,Manual,Lucknow,cars24,0.79,2025-07-24T14:05:01.000943,7,Individual,False,15,Hyundai Creta 2022 in excellent condition,"['Central Locking', 'Fog Lights', 'Power Windows', 'Alloy Wheels', 'ABS', 'AC']"
realtime_004,Maruti Suzuki,Alto K10,2020,198273,48388,CNG,Automatic,Kolkata,carwale,0.72,2025-07-24T14:05:01.000943,25,Individual,False,17,Maruti Suzuki Alto K10 2020 in excellent condition,"['AC', 'Airbags', 'Central Locking', 'Alloy Wheels', 'Music System', 'Power Steering', 'Fog Lights']"
realtime_005,Toyota,Urban Cruiser,2022,550972,28784,Petrol,Manual,Pune,carwale,0.82,2025-07-24T14:05:01.000943,18,Individual,False,9,Toyota Urban Cruiser 2022 in excellent condition,"['Central Locking', 'Alloy Wheels', 'Airbags', 'Music System', 'Fog Lights', 'AC', 'Power Steering']"
realtime_006,Maruti Suzuki,Alto K10,2024,362357,1462,CNG,Automatic,Kolkata,olx,0.94,2025-07-24T14:05:01.000943,15,Dealer,True,5,Maruti Suzuki Alto K10 2024 in excellent condition,"['Power Steering', 'Power Windows', 'Music System', 'Alloy Wheels', 'ABS', 'Fog Lights', 'AC']"
realtime_007,Mahindra,Thar,2019,704391,59574,Petrol,Automatic,Pune,carwale,0.72,2025-07-24T14:05:01.000943,11,Dealer,True,8,Mahindra Thar 2019 in excellent condition,"['Alloy Wheels', 'Power Windows', 'Airbags', 'Power Steering', 'Fog Lights']"
realtime_008,Audi,Q3,2024,4306708,1000,Petrol,Automatic,Chennai,cars24,0.97,2025-07-24T14:05:01.000943,23,Individual,True,18,Audi Q3 2024 in excellent condition,"['Central Locking', 'Power Windows', 'Alloy Wheels', 'AC', 'Music System', 'ABS', 'Airbags']"
realtime_009,Mercedes-Benz,C-Class,2024,4728953,1000,Petrol,Automatic,Mumbai,cardekho,0.92,2025-07-24T14:05:01.000943,17,Individual,True,7,Mercedes-Benz C-Class 2024 in excellent condition,"['Central Locking', 'ABS', 'Airbags', 'Power Windows', 'Fog Lights', 'Alloy Wheels']"
realtime_010,Honda,Jazz,2023,562008,9934,Petrol,Manual,Ahmedabad,cardekho,1.0,2025-07-24T14:05:01.000943,27,Individual,True,18,Honda Jazz 2023 in excellent condition,"['Music System', 'ABS', 'Central Locking', 'Airbags', 'Alloy Wheels']"
realtime_011,Tata,Nexon,2020,436504,34805,Electric,Automatic,Mumbai,olx,0.68,2025-07-24T14:05:01.000943,8,Individual,True,15,Tata Nexon 2020 in excellent condition,"['Power Steering', 'Central Locking', 'ABS']"
realtime_012,BMW,X1,2024,3524965,1665,Diesel,Manual,Bangalore,spinny,0.93,2025-07-24T14:05:01.000943,19,Individual,True,13,BMW X1 2024 in excellent condition,"['Power Steering', 'AC', 'Power Windows', 'Music System']"
realtime_013,BMW,3 Series,2019,2954877,50932,Petrol,Automatic,Chennai,cars24,0.72,2025-07-24T14:05:01.000943,4,Individual,True,20,BMW 3 Series 2019 in excellent condition,"['Alloy Wheels', 'Power Windows', 'Music System', 'Fog Lights']"
realtime_014,Tata,Altroz,2022,412915,30107,Diesel,Automatic,Chennai,cars24,0.86,2025-07-24T14:05:01.000943,13,Individual,True,20,Tata Altroz 2022 in excellent condition,"['Alloy Wheels', 'ABS', 'Power Windows', 'Airbags']"
realtime_015,BMW,X1,2019,1963852,43402,Petrol,Manual,Pune,spinny,0.62,2025-07-24T14:05:01.000943,27,Individual,True,14,BMW X1 2019 in excellent condition,"['Airbags', 'Power Steering', 'AC', 'Music System', 'ABS', 'Power Windows', 'Alloy Wheels']"
realtime_016,Maruti Suzuki,Baleno,2021,354511,37975,CNG,Automatic,Kolkata,cardekho,0.82,2025-07-24T14:05:01.000943,5,Individual,False,15,Maruti Suzuki Baleno 2021 in excellent condition,"['Power Steering', 'Central Locking', 'Airbags', 'Power Windows', 'Alloy Wheels', 'Music System', 'AC']"
realtime_017,Mercedes-Benz,GLA,2018,1825483,86382,Petrol,Manual,Lucknow,carwale,0.51,2025-07-24T14:05:01.000943,2,Dealer,False,14,Mercedes-Benz GLA 2018 in excellent condition,"['Alloy Wheels', 'AC', 'Airbags', 'ABS', 'Power Steering']"
realtime_018,BMW,X1,2023,3375139,9488,Diesel,Automatic,Kolkata,cardekho,1.0,2025-07-24T14:05:01.000943,20,Individual,True,13,BMW X1 2023 in excellent condition,"['Power Windows', 'Music System', 'ABS', 'AC', 'Central Locking']"
realtime_019,Hyundai,Grand i10 Nios,2019,222611,60215,Petrol,Automatic,Ahmedabad,carwale,0.62,2025-07-24T14:05:01.000943,20,Dealer,False,13,Hyundai Grand i10 Nios 2019 in excellent condition,"['ABS', 'Power Windows', 'AC', 'Alloy Wheels', 'Fog Lights']"
realtime_020,Tata,Altroz,2020,329152,31365,Diesel,Manual,Pune,cars24,0.66,2025-07-24T14:05:01.000943,10,Individual,True,10,Tata Altroz 2020 in excellent condition,"['Fog Lights', 'ABS', 'AC', 'Power Steering', 'Power Windows']"
realtime_021,Mahindra,Thar,2023,1111771,15976,Diesel,Manual,Jaipur,cars24,0.87,2025-07-24T14:05:01.002000,25,Dealer,True,7,Mahindra Thar 2023 in excellent condition,"['ABS', 'Power Steering', 'Alloy Wheels', 'Airbags', 'AC']"
realtime_022,Hyundai,Grand i10 Nios,2020,296678,32322,CNG,Manual,Lucknow,spinny,0.67,2025-07-24T14:05:01.002000,9,Dealer,True,13,Hyundai Grand i10 Nios 2020 in excellent condition,"['AC', 'Central Locking', 'Alloy Wheels']"
realtime_023,Honda,WR-V,2024,715119,1000,Petrol,Manual,Ahmedabad,spinny,1.0,2025-07-24T14:05:01.002000,12,Dealer,True,17,Honda WR-V 2024 in excellent condition,"['Airbags', 'Power Windows', 'Fog Lights', 'Alloy Wheels', 'Music System', 'AC']"
realtime_024,Tata,Punch,2020,286584,47131,CNG,Manual,Kolkata,olx,0.8,2025-07-24T14:05:01.002000,27,Dealer,True,13,Tata Punch 2020 in excellent condition,"['AC', 'Central Locking', 'ABS', 'Power Steering', 'Fog Lights', 'Airbags', 'Music System']"
realtime_025,Maruti Suzuki,WagonR,2020,287439,44115,CNG,Automatic,Pune,carwale,0.78,2025-07-24T14:05:01.002000,8,Individual,True,18,Maruti Suzuki WagonR 2020 in excellent condition,"['Central Locking', 'Fog Lights', 'Power Windows', 'ABS', 'Airbags', 'Music System', 'Power Steering']"
realtime_026,Hyundai,Creta,2021,549796,38308,Petrol,Manual,Mumbai,cardekho,0.73,2025-07-24T14:05:01.002000,22,Dealer,True,6,Hyundai Creta 2021 in excellent condition,"['Fog Lights', 'ABS', 'Power Windows', 'Alloy Wheels', 'Airbags', 'Central Locking', 'Music System']"
realtime_027,Mercedes-Benz,GLA,2024,3694888,1000,Petrol,Manual,Pune,cars24,1.0,2025-07-24T14:05:01.002000,15,Individual,True,10,Mercedes-Benz GLA 2024 in excellent condition,"['Fog Lights', 'Airbags', 'Central Locking', 'Music System', 'AC']"
realtime_028,Hyundai,Creta,2022,620278,22251,Diesel,Automatic,Lucknow,olx,0.85,2025-07-24T14:05:01.002000,6,Individual,False,14,Hyundai Creta 2022 in excellent condition,"['Power Steering', 'AC', 'Power Windows', 'Airbags', 'Music System']"
