vehicle_id,make,model,year,price,kms_driven,fuel_type,transmission,location,source,condition_score,scraped_at,listing_age_days,seller_type,verified,images_count,description,features
realtime_001,Honda,WR-V,2023,565808,12020,Petrol,Manual,Pune,olx,1.0,2025-07-24T14:56:31.317236,11,Dealer,False,9,Honda WR-V 2023 in excellent condition,"['AC', 'Airbags', 'Power Steering', 'Music System', 'Power Windows', 'Central Locking', 'Alloy Wheels']"
realtime_002,Tata,Punch,2018,302538,87317,CNG,Manual,Bangalore,spinny,0.58,2025-07-24T14:56:31.317236,4,Dealer,False,15,Tata Punch 2018 in excellent condition,"['Power Steering', 'Airbags', 'Alloy Wheels']"
realtime_003,Mahindra,XUV700,2024,1323353,1000,Petrol,Automatic,Hyderabad,carwale,0.93,2025-07-24T14:56:31.317236,8,Dealer,False,13,Mahindra XUV700 2024 in excellent condition,"['Power Steering', 'Fog Lights', 'Airbags', 'Central Locking', 'AC', 'Alloy Wheels', 'Power Windows']"
realtime_004,BMW,X1,2020,2357808,38899,Diesel,Automatic,Lucknow,cartrade,0.78,2025-07-24T14:56:31.317236,3,Individual,False,13,BMW X1 2020 in excellent condition,"['Power Steering', 'Power Windows', 'Airbags', 'Alloy Wheels', 'Fog Lights', 'Music System', 'AC']"
realtime_005,Tata,Punch,2018,303037,68673,Petrol,Manual,Chennai,olx,0.61,2025-07-24T14:56:31.317236,10,Dealer,True,6,Tata Punch 2018 in excellent condition,"['Airbags', 'AC', 'ABS', 'Power Windows', 'Music System']"
realtime_006,Honda,WR-V,2021,493144,41091,Petrol,Automatic,Pune,olx,0.72,2025-07-24T14:56:31.317236,3,Individual,False,17,Honda WR-V 2021 in excellent condition,"['Music System', 'ABS', 'Alloy Wheels']"
realtime_007,Audi,A4,2020,2210342,54184,Petrol,Manual,Kolkata,cars24,0.73,2025-07-24T14:56:31.317236,24,Dealer,False,15,Audi A4 2020 in excellent condition,"['Alloy Wheels', 'ABS', 'AC']"
realtime_008,Mercedes-Benz,C-Class,2020,2587622,45100,Petrol,Manual,Kolkata,spinny,0.66,2025-07-24T14:56:31.317236,8,Dealer,True,5,Mercedes-Benz C-Class 2020 in excellent condition,"['ABS', 'Alloy Wheels', 'Power Windows', 'AC', 'Power Steering', 'Music System']"
realtime_009,Maruti Suzuki,Alto K10,2024,326153,1000,Petrol,Automatic,Jaipur,spinny,0.96,2025-07-24T14:56:31.317236,10,Individual,False,6,Maruti Suzuki Alto K10 2024 in excellent condition,"['Power Steering', 'Fog Lights', 'Airbags']"
realtime_010,Honda,Jazz,2023,603787,11559,Petrol,Manual,Bangalore,cars24,0.92,2025-07-24T14:56:31.317236,8,Individual,False,7,Honda Jazz 2023 in excellent condition,"['Music System', 'AC', 'Central Locking', 'Fog Lights', 'Alloy Wheels']"
realtime_011,BMW,3 Series,2018,2759334,72443,Diesel,Manual,Lucknow,carwale,0.63,2025-07-24T14:56:31.318236,30,Dealer,False,15,BMW 3 Series 2018 in excellent condition,"['Power Steering', 'Fog Lights', 'Alloy Wheels', 'Music System', 'ABS', 'Airbags']"
realtime_012,Tata,Nexon,2024,676338,1500,Electric,Automatic,Mumbai,olx,1.0,2025-07-24T14:56:31.318236,22,Dealer,False,5,Tata Nexon 2024 in excellent condition,"['Fog Lights', 'Alloy Wheels', 'Music System', 'ABS', 'Power Windows', 'AC']"
